#PC0: 2.09231e+06 / 2.20105e+06 = 0.950599
#PC1: 55230.4 / 2.20105e+06 = 0.0250928
#PC2: 26603.4 / 2.20105e+06 = 0.0120867
#PC3: 8857.42 / 2.20105e+06 = 0.00402419
#PC4: 5357.85 / 2.20105e+06 = 0.00243423
#PC5: 2959.45 / 2.20105e+06 = 0.00134457
#PC6: 2250.63 / 2.20105e+06 = 0.00102253
#PC7: 1975.82 / 2.20105e+06 = 0.000897674
#PC8: 1283.9 / 2.20105e+06 = 0.000583315
#PC9: 1051.16 / 2.20105e+06 = 0.000477573
#PC10: 502.417 / 2.20105e+06 = 0.000228263
#PC11: 492.6 / 2.20105e+06 = 0.000223803
#PC12: 409.58 / 2.20105e+06 = 0.000186084
#PC13: 328.31 / 2.20105e+06 = 0.000149161
#PC14: 307.247 / 2.20105e+06 = 0.000139591
#PC15: 299.788 / 2.20105e+06 = 0.000136203
#PC16: 275.035 / 2.20105e+06 = 0.000124957
#PC17: 221.837 / 2.20105e+06 = 0.000100787
#PC18: 157.922 / 2.20105e+06 = 7.17486e-05
#PC19: 123.535 / 2.20105e+06 = 5.61255e-05
#PC20: 26.9426 / 2.20105e+06 = 1.22408e-05
#PC21: 14.6687 / 2.20105e+06 = 6.66441e-06
#PC22: 2.51344 / 2.20105e+06 = 1.14193e-06
idpar_scale PC0 PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 PC21 PC22 Mean
-1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 -5.20465e-05 -1.11496e-05 2.9369e-05 2.48925e-07 -1.70784e-05 -3.83566e-06 -2.70281e-05 5.93449e-05 1.4817e-05 4.85593e-05 -6.59439e-05 1.31533e-05 1.46929e-06 4.77747e-05 1.27203e-05 -2.5467e-05 4.60892e-06 0.000162322 -6.75999e-06 7.92296e-05 2.11304e-05 -6.88356e-05 0.000840673 -0.10261
-1 -7.1452e-05 -1.55089e-05 3.20169e-05 1.42519e-06 -2.07012e-05 -4.88114e-06 -3.30837e-05 6.94551e-05 1.8036e-05 6.12146e-05 -8.35226e-05 1.53602e-05 6.56164e-06 5.59258e-05 1.57847e-05 -2.95687e-05 1.52612e-05 0.000189081 -6.84206e-06 0.000102882 2.82126e-05 -8.40057e-05 0.00115632 -0.138952
-1025.72 -0.114569 -0.0321297 -0.0153346 0.0183158 -0.00328367 -0.000254582 0.000831966 -0.0136238 0.000716506 -0.00555581 0.00259706 0.0054842 -0.00118735 0.000521958 -0.000496729 -0.000879098 0.0105362 -0.0110257 -9.21046e-05 -0.00317877 7.36144e-05 0.003404 0.0890354 -174.75
-1035 -0.0197538 0.204738 -0.302215 -0.00763815 0.0327599 -0.0952518 0.235594 -0.00631332 0.892524 0.0140198 0.0122289 -0.000406862 0.0534826 -0.0115563 0.00245065 0.0153009 0.00636623 -0.00192341 0.000354892 0.00676251 0.015141 0.00510845 -0.00163817 -285.953
-1215.67 -0.115601 -0.0321078 -0.0143738 0.0176796 -0.00279051 -0.000196912 0.000356481 -0.0126287 0.00117217 -0.00505014 0.00159557 0.00518816 -0.000479051 0.00196696 -0.000199525 -0.00166163 0.0100333 -0.0106582 5.06369e-05 -0.00114632 0.00132996 0.00173135 0.0778395 -173.558
-1240 -0.102298 0.123092 0.110241 -0.387772 0.208916 0.0185348 0.00369133 0.0752277 0.00155769 0.033847 -0.210562 0.744419 -7.18567e-05 -0.00843592 -0.00227973 0.054531 -0.387191 -0.0943338 -0.0012724 0.00255888 0.000522179 0.00111404 0.0179218 -190.936
-1397 -0.114234 -0.0290612 -0.0127902 0.0100074 0.000903154 0.00146987 0.000665065 -0.00997601 -0.000222125 -0.00534676 0.00496078 -0.00293388 -8.74931e-05 0.000480204 -0.000188276 -0.000568543 -0.000995362 -0.0103441 0.000169306 -0.0021446 -0.00181212 -0.00393716 -0.129511 -175.177
-1406 -0.113735 -0.026375 -0.00942083 0.00847386 0.00332239 0.00384593 -0.0027235 -0.0159633 0.0012336 -0.00501258 0.00544013 -0.00425054 0.00300036 0.00277984 0.000823966 0.0024453 -0.00465339 -0.011487 -0.000947049 0.00526361 -0.00336923 -0.0100144 -0.209042 -175.787
-1486 -0.11341 -0.0230052 -0.00704283 0.00348502 0.00493261 0.00438323 -0.00367794 -0.0200077 0.00153464 -0.00535911 0.00434054 0.00518612 0.00393304 0.00331756 0.000477929 0.00309577 -0.00716293 -0.0129717 -0.00145701 0.00604597 -0.00344054 -0.00964157 -0.181743 -176.201
