#PC0: 2.08734e+06 / 2.19647e+06 = 0.950314
#PC1: 56006.2 / 2.19647e+06 = 0.0254982
#PC2: 25787.2 / 2.19647e+06 = 0.0117403
#PC3: 9531.2 / 2.19647e+06 = 0.00433932
#PC4: 5646.63 / 2.19647e+06 = 0.00257077
#PC5: 3011.57 / 2.19647e+06 = 0.0013711
#PC6: 2055.88 / 2.19647e+06 = 0.000935993
#PC7: 1784.36 / 2.19647e+06 = 0.000812373
#PC8: 1222.79 / 2.19647e+06 = 0.000556704
#PC9: 1013.83 / 2.19647e+06 = 0.00046157
#PC10: 500.317 / 2.19647e+06 = 0.000227782
#PC11: 472.707 / 2.19647e+06 = 0.000215212
#PC12: 391.472 / 2.19647e+06 = 0.000178227
#PC13: 325.773 / 2.19647e+06 = 0.000148316
#PC14: 300.826 / 2.19647e+06 = 0.000136959
#PC15: 272.237 / 2.19647e+06 = 0.000123943
#PC16: 253.474 / 2.19647e+06 = 0.0001154
#PC17: 250.794 / 2.19647e+06 = 0.00011418
#PC18: 164.818 / 2.19647e+06 = 7.50377e-05
#PC19: 98.0569 / 2.19647e+06 = 4.46429e-05
#PC20: 28.7519 / 2.19647e+06 = 1.309e-05
#PC21: 9.84173 / 2.19647e+06 = 4.4807e-06
#PC22: 2.96299 / 2.19647e+06 = 1.34897e-06
idpar_scale PC0 PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 PC21 PC22 Mean
-2320.95 -0.11418 -0.0274478 -0.0082876 0.00738138 0.000531337 0.00170817 -0.00305329 -0.0176555 -0.000883829 0.00527053 -0.00583556 0.0029542 0.002627 -0.000658798 -0.000559257 -0.00215649 3.56912e-05 0.0122914 -0.00222711 0.00750826 0.00649291 0.000956231 0.229499 -175.112
-2335 -0.114355 -0.031823 -0.0125541 0.0156415 -0.00513447 0.000546275 -0.000757398 -0.0132825 0.000335551 0.00461379 0.00400754 0.00437725 -0.000117367 -0.0123557 -0.00228574 -7.30872e-05 4.51588e-05 0.00253622 -0.000180168 0.00143695 -0.000328761 0.00023727 -0.0313787 -174.852
-2665 -0.114735 -0.0319143 -0.0123661 0.0156342 -0.00429806 0.000608078 -0.000924031 -0.0147384 1.8543e-05 0.00509841 0.00310563 0.00494027 -0.000313726 -0.0118714 -0.00237077 -0.0014521 0.000246858 0.00349579 -0.00116259 0.00218538 0.000237806 -0.000179122 -0.00907126 -174.412
-2798 -0.114888 -0.0327511 -0.0134426 0.016924 -0.00573556 0.000288336 0.000233901 -0.0129872 0.000597027 0.00484074 0.00555576 0.00486179 -0.00133901 -0.0141067 -0.00275817 -9.83183e-05 0.000148801 -0.000173892 -0.000191864 -0.00106551 -0.00260898 -0.00260835 -0.0891471 -174.223
-3426.03 -0.0722348 0.347474 0.130828 0.310684 0.160179 0.45506 0.0262528 0.00271088 -0.00755528 0.0022426 -0.0144052 0.180087 -0.0095138 0.0809323 -0.38267 -0.56701 -0.00984594 -0.139259 0.00409792 -0.00177335 -0.000641958 0.000194763 -0.00153562 -227.123
-3726.03 -0.115053 -0.0323555 -0.0129525 0.0139075 -0.00388975 0.000516732 0.000320843 -0.0115777 0.000806507 0.00585016 0.00152179 0.00414915 -0.00153402 -0.0125069 -0.00379366 -0.000445527 0.000317279 0.00516165 -0.000432675 0.000111177 -0.00109007 0.00128633 0.0235301 -174.041
-3728.81 -0.115098 -0.0323609 -0.0129507 0.0139134 -0.00388429 0.000522103 0.000311562 -0.0116124 0.000802053 0.00585876 0.0015011 0.00415768 -0.00152581 -0.0124986 -0.00379351 -0.000461364 0.000316653 0.00518932 -0.000434621 0.000128967 -0.0010757 0.00129793 0.0240847 -173.989
-3868.76 -0.114592 -0.0261535 -0.00770974 0.00250686 0.0021541 0.00151899 -0.00142677 -0.0152489 2.44706e-05 0.00634643 -0.00997178 0.00174641 0.00192083 -0.00468737 -0.00211513 -0.00228438 6.63527e-05 0.0191538 -0.000672066 0.00458559 0.00399021 -0.00018046 0.350819 -174.653
-3888.63 -0.114885 -0.031619 -0.0119552 0.0135424 -0.00187733 -0.000417331 0.000300172 -0.0113584 -0.00107288 0.00437544 0.0035834 0.0028615 0.000529621 -0.0120773 -2.82171e-05 -0.000366338 0.00014655 0.0018382 6.10487e-05 0.000130682 0.00171066 0.00120444 -0.0307861 -174.245
-3933.66 -0.113764 -0.0327064 -0.0135525 0.0167493 -0.00569317 0.000231819 0.00133166 -0.0094202 0.00116589 0.00380371 0.00682142 0.003554 -0.00129256 -0.0147564 -0.00180264 0.00113638 -0.000141572 -0.0027894 0.00129158 -0.00247704 -0.00285044 -0.00202448 -0.132027 -175.527
-4068.6 -0.114528 -0.0322352 -0.0131833 0.0148869 -0.00449177 0.000564018 0.000302149 -0.0110566 0.000851986 0.00513393 0.00305959 0.00394255 -0.00104388 -0.0130948 -0.00293025 -5.20079e-05 0.000131893 0.00295135 0.000127301 -0.000531919 -0.00142966 0.000776966 -0.019997 -174.648
-4074 -0.114569 -0.0322394 -0.0131819 0.0148697 -0.00447738 0.00056653 0.000303515 -0.011054 0.000852093 0.00514178 0.00302585 0.00393551 -0.00104466 -0.0131076 -0.0029348 -6.13439e-05 0.000132231 0.00299767 0.000127723 -0.0005324 -0.00142543 0.000784199 -0.0189916 -174.601
-4076.35 -0.11436 -0.0321505 -0.0131313 0.0147483 -0.0044107 0.000577949 0.000303231 -0.0110003 0.000853331 0.00515052 0.00288339 0.00388935 -0.00104301 -0.0131137 -0.00294494 -9.10931e-05 0.000131285 0.00317409 0.000127789 -0.000518616 -0.00140014 0.000806296 -0.0148608 -174.844
-4101.73 -0.115094 -0.0327442 -0.0129482 0.0163601 -0.00326306 -0.000584989 0.000509586 -0.0123262 -0.00102941 0.00511001 0.00466994 0.00430517 -0.000835705 -0.0139404 -0.000876026 -0.00102505 0.000210707 3.58287e-05 -0.000214463 -0.00146573 -0.000392215 0.00107272 -0.0769272 -173.987
-4340.46 -0.115184 -0.0327647 -0.0129375 0.0164099 -0.00324899 -0.000604036 0.000494422 -0.0123533 -0.00106375 0.00509339 0.00471471 0.00431237 -0.00080748 -0.0139482 -0.000821988 -0.00102356 0.00020473 -1.53448e-05 -0.000210043 -0.001459 -0.000343877 0.00110744 -0.0779153 -173.883
-4685.64 -0.113715 -0.026016 -0.0116132 0.0131483 0.000144481 0.000738039 -0.000103052 -0.016843 -0.00176914 0.00470165 0.00345206 0.00548999 0.00174758 -0.0115391 0.00206815 -0.00421432 -0.000460352 0.00240799 0.000533874 -0.00267754 0.000816131 0.00289367 -0.0208347 -175.651
